log_file,log_name,fold,combo_label,model_id,task,bold,beta,smooth,gamma,active_param_count,train_loss,test_loss,train_corr,test_corr,abs_train_corr,abs_test_corr,corr_gap,loss_gap,loss_gap_rel,norm_test_corr,norm_corr_gap,norm_loss_gap_rel,term_test_corr,term_corr_stability,term_loss_stability,score_component_test_corr,score_component_corr_stability,score_component_loss_stability,evaluation_score
slurm-8078053.out,slurm-8078053.out,17,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.0808,0.111716,0.0583,-0.0691,0.0583,0.0691,0.010799999999999997,0.030916,0.3826190269922402,0.12337387243100258,0.01569655928289034,0.17065123123152584,-0.12337387243100258,0.01569655928289034,0.17065123123152584,-0.038122526581179796,0.004928719614827566,0.06433551417428524,0.03114170720793301
slurm-8078053.out,slurm-8078053.out,18,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.081281,0.087304,0.0508,-0.0829,0.0508,0.0829,0.032100000000000004,0.006023000000000001,0.07410004675081815,0.15189245600801826,0.07128038517242723,0.020187778690697912,-0.15189245600801826,0.07128038517242723,0.020187778690697912,-0.046934768906477645,0.02238204094414215,0.007610792566393113,-0.01694193539594238
slurm-8078053.out,slurm-8078053.out,19,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.0811,0.091143,0.0511,0.3668,0.0511,0.3668,0.31570000000000004,0.010042999999999996,0.12383324496615326,0.7385899833641595,0.8113542359833502,0.04444245729595276,-0.7385899833641595,0.8113542359833502,0.04444245729595276,-0.22822430485952527,0.25476523009877194,0.01675480640057419,0.04329573163982086
slurm-8078053.out,slurm-8078053.out,20,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.080097,0.114369,0.05,0.693,0.05,0.693,0.6429999999999999,0.034272,0.4278758520812005,1.0,1.0,0.19272280085940663,-1.0,1.0,0.19272280085940663,-0.309,0.314,0.0726564959239963,0.0776564959239963
slurm-8078053.out,slurm-8078053.out,21,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.081608,0.075626,0.057,0.2615,0.057,0.2615,0.20450000000000002,0.005982000000000001,0.07330073888909312,0.5209807912873661,0.5211701308698994,0.01979795949570361,-0.5209807912873661,0.5211701308698994,0.01979795949570361,-0.16098306450779612,0.16364742109314842,0.0074638307298802616,0.010128187315232563
slurm-8078053.out,slurm-8078053.out,22,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.081713,0.070324,0.0567,0.0579,0.0567,0.0579,0.0011999999999999997,0.011388999999999996,0.13937636145580926,0.10022835532501885,0.0,0.052022772025529074,-0.10022835532501885,0.0,0.052022772025529074,-0.030970561795430826,0.0,0.01961258505362446,-0.011357976741806365
slurm-8078053.out,slurm-8078053.out,23,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.082384,0.04575,0.0534,-0.0153,0.0534,0.0153,0.0381,0.036634,0.44466832554469865,0.012192727761187858,0.08693780091595874,0.20091242190651698,-0.012192727761187858,0.08693780091595874,0.20091242190651698,-0.0037675528782070483,0.027298469487611044,0.0757439830587569,0.0992748996681609
slurm-8078053.out,slurm-8078053.out,24,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.081405,0.082938,0.0556,-0.2958,0.0556,0.2958,0.24020000000000002,0.0015329999999999927,0.01883153575903487,0.5918639374244412,0.6143317545439119,0.0,-0.5918639374244412,0.6143317545439119,0.0,-0.18288595666415233,0.19290017092678832,0.0,0.01001421426263599
slurm-8078053.out,slurm-8078053.out,25,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.080913,0.104408,0.0547,-0.0738,0.0547,0.0738,0.019100000000000006,0.023495000000000002,0.2903700224930173,0.13308672335940647,0.037355984394775624,0.1256617667274425,-0.13308672335940647,0.037355984394775624,0.1256617667274425,-0.0411237975180566,0.011729779099959545,0.04737448605624582,0.017980467638148763
slurm-8078053.out,slurm-8078053.out,26,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.080991,0.110048,0.0541,-0.1303,0.0541,0.1303,0.07619999999999999,0.029057000000000013,0.35876382852627436,0.24984759090298514,0.18636239088738382,0.15901714791053484,-0.24984759090298514,0.18636239088738382,0.15901714791053484,-0.0772029055890224,0.05851779073863852,0.059949464762271636,0.04126434991188775
